participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,1,0,-714,meridianV,0.89,vertical,down,down,1,1,down_vertical,1,highCont
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,2,0,-714,meridianV,0.0,vertical,down,right,0,0,down_vertical,2,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,3,714,0,meridianH,0.5,horizontal,right,right,1,1,right_horizontal,1,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,4,0,714,meridianV,0.5,vertical,up,up,1,1,up_vertical,1,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,5,0,714,meridianV,0.5,horizontal,up,up,1,1,up_horizontal,1,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,6,0,-714,meridianV,0.84,horizontal,down,down,1,1,down_horizontal,1,highCont
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,7,714,0,meridianH,0.5,horizontal,right,right,1,2,right_horizontal,2,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,8,-714,0,meridianH,0.5,horizontal,left,left,1,1,left_horizontal,1,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,9,714,0,meridianH,0.49,horizontal,right,right,1,1,right_horizontal,3,staircase
,measure_radialbias,2023-11-28_16h00.05.963,,16,714,266,6,0.176,4,test,10,714,0,meridianH,0.49,horizontal,right,right,1,2,right_horizontal,4,staircase
