subj_ID,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,1,714,0,meridianH,0.89,horizontal,right,right,1,1,right_horizontal,1,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,2,-714,0,meridianH,0.5,vertical,left,left,1,1,left_vertical,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,3,714,0,meridianH,0.5,vertical,right,right,1,1,right_vertical,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,4,-714,0,meridianH,0.5,horizontal,left,left,1,1,left_horizontal,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,5,0,-714,meridianV,0.5,horizontal,down,down,1,1,down_horizontal,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,6,0,-714,meridianV,0.82,vertical,down,down,1,1,down_vertical,1,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,7,0,-714,meridianV,0.0,vertical,down,down,1,2,down_vertical,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,8,714,0,meridianH,0.5,vertical,right,right,1,2,right_vertical,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,9,0,-714,meridianV,0.5,horizontal,down,down,1,2,down_horizontal,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,10,-714,0,meridianH,0.5,horizontal,left,left,1,2,left_horizontal,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,11,714,0,meridianH,0.92,horizontal,right,right,1,2,right_horizontal,2,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,12,714,0,meridianH,0.49,vertical,right,right,1,1,right_vertical,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,13,0,-714,meridianV,0.49,horizontal,down,down,1,1,down_horizontal,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,14,-714,0,meridianH,0.49,horizontal,left,left,1,1,left_horizontal,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,15,0,714,meridianV,0.5,horizontal,up,up,1,1,up_horizontal,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,16,0,714,meridianV,0.73,horizontal,up,up,1,2,up_horizontal,2,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,17,-714,0,meridianH,0.5,vertical,left,left,1,2,left_vertical,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,18,0,-714,meridianV,0.01,vertical,down,down,1,1,down_vertical,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,19,0,-714,meridianV,0.01,vertical,down,left,0,0,down_vertical,4,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,20,-714,0,meridianH,0.49,vertical,left,left,1,1,left_vertical,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,21,0,-714,meridianV,0.91,horizontal,down,down,1,2,down_horizontal,4,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,22,0,714,meridianV,0.49,horizontal,up,up,1,1,up_horizontal,3,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,23,0,-714,meridianV,0.02,vertical,down,down,1,1,down_vertical,5,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,24,-714,0,meridianH,0.49,vertical,left,left,1,2,left_vertical,4,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,25,714,0,meridianH,0.49,vertical,right,right,1,2,right_vertical,4,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,26,0,-714,meridianV,0.84,horizontal,down,down,1,3,down_horizontal,5,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,27,0,714,meridianV,0.5,vertical,up,up,1,1,up_vertical,1,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,28,0,714,meridianV,0.5,vertical,up,up,1,2,up_vertical,2,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,29,-714,0,meridianH,0.48,vertical,left,left,1,1,left_vertical,5,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,30,0,-714,meridianV,0.02,vertical,down,down,1,2,down_vertical,6,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,31,714,0,meridianH,0.97,vertical,right,right,1,3,right_vertical,5,highCont
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,32,0,-714,meridianV,0.48,horizontal,down,down,1,1,down_horizontal,6,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,33,-714,0,meridianH,0.49,horizontal,left,left,1,2,left_horizontal,4,staircase
,measure_radialbias,2023-11-28_15h38.07.187,,16,714,266,6,0.176,4,test,34,0,714,meridianV,0.49,vertical,up,up,1,1,up_vertical,3,staircase
